,,,,,equalfreq original,equalfreq original,equalfreq original,equalfreq original,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalwidth original,equalwidth original,equalwidth original,equalwidth original,equalwidth normalise,equalwidth normalise,equalwidth normalise,equalwidth normalise
,name,dimensions,percentage,k,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6
90,speech,3686,1.6549104721,200,0.5226003392,0.5197422272,0.514035048,0.499133974,0.5226003392,0.5671633691,0.5625551159,0.5732413793,0.5226003392,0.5244544941,0.5250288298,0.5363617863,0.5226003392,0.538419446,0.5593487846,0.5272312041
91,speech,3686,1.6549104721,300,0.5231972866,0.5193804409,0.514736009,0.499450537,0.5231972866,0.5792425099,0.5720248728,0.5837874505,0.5231972866,0.5245675523,0.5251102318,0.5368049746,0.5231972866,0.5489700396,0.5669462973,0.528728095
92,thyroid,3772,2.4655355249,10,0.6927782503,0.5232429336,0.6735366101,0.2228144989,0.6927782503,0.5774623188,0.5168151713,0.1429872495,0.6927782503,0.6903302569,0.6681560184,0.3076923077,0.6927782503,0.7079237871,0.6518496813,0.1561327561
93,thyroid,3772,2.4655355249,30,0.8870456266,0.4923906976,0.6324000072,0.4550745365,0.8870456266,0.631222837,0.6021330013,0.6781553071,0.8870456266,0.896541545,0.63230789,0.2180094787,0.8870456266,0.8576079872,0.4179165801,0.2086153846
94,thyroid,3772,2.4655355249,50,0.9463885406,0.5537649022,0.6418103914,0.4568276429,0.9463885406,0.7578496962,0.7152978106,0.7190134051,0.9463885406,0.9475400924,0.5305859404,0.1184834123,0.9463885406,0.9489108483,0.6075970194,0.7845478969
95,thyroid,3772,2.4655355249,100,0.9631561873,0.6933686398,0.5510628473,0.7797461414,0.9631561873,0.9260288706,0.8961878958,0.4613756429,0.9631561873,0.9626856293,0.4775337862,0.0529247911,0.9631561873,0.9740754705,0.5521301584,0.0608645837
96,thyroid,3772,2.4655355249,200,0.9592543556,0.8041046685,0.5999161179,0.6363405203,0.9592543556,0.9511350384,0.9278760299,0.669311154,0.9592543556,0.9584301484,0.5128849433,0.0692431562,0.9592543556,0.9749522866,0.7150756259,0.2715200828
97,thyroid,3772,2.4655355249,300,0.9531575609,0.8480565371,0.7123385562,0.6064118639,0.9531575609,0.95433834,0.9299891567,0.6696478414,0.9531575609,0.9524911807,0.7072155516,0.0144927536,0.9531575609,0.9733272541,0.5996782574,0.0805598106
98,vertebral,240,12.5,10,0.4906349206,0.6336507937,0.6025396825,0.2789228723,0.4906349206,0.4907936508,0.5776190476,0.376146789,0.4906349206,0.5226984127,0.224009901,0.298245614,0.4906349206,0.5856349206,0.6690997567,0.4202898551
99,vertebral,240,12.5,30,0.4776190476,0.5752380952,0.5642857143,0.6023015873,0.4776190476,0.4695238095,0.5313492063,0.5117460317,0.4776190476,0.5958730159,0.1552055321,0.3979591837,0.4776190476,0.5996031746,0.6492857143,0.2632763276
